Episode: 61/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 5.5e+01, Epsilon: 0.45
Episode: 62/1000, Scores(Time Frames): 223, Total Rewards(adjusted): 2.4e+02, Epsilon: 0.44
Episode: 63/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 8.1e+01, Epsilon: 0.43
Episode: 64/1000, Scores(Time Frames): 136, Total Rewards(adjusted): 4.7e+01, Epsilon: 0.43
Episode: 65/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.3e+01, Epsilon: 0.42
Episode: 66/1000, Scores(Time Frames): 270, Total Rewards(adjusted): 2.4e+02, Epsilon: 0.41
Episode: 67/1000, Scores(Time Frames): 310, Total Rewards(adjusted): 3.5e+02, Epsilon: 0.4
Episode: 68/1000, Scores(Time Frames): 271, Total Rewards(adjusted): 4.4e+02, Epsilon: 0.39
Episode: 69/1000, Scores(Time Frames): 185, Total Rewards(adjusted): 2.3e+02, Epsilon: 0.38
Episode: 70/1000, Scores(Time Frames): 165, Total Rewards(adjusted): 1.7e+02, Epsilon: 0.38
Episode: 71/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 9.3e+01, Epsilon: 0.37
Episode: 72/1000, Scores(Time Frames): 160, Total Rewards(adjusted): 1.9e+02, Epsilon: 0.37
Episode: 73/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.9e+01, Epsilon: 0.36
Episode: 74/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.2e+02, Epsilon: 0.36
Episode: 75/1000, Scores(Time Frames): 209, Total Rewards(adjusted): 3.8e+02, Epsilon: 0.35
Episode: 76/1000, Scores(Time Frames): 241, Total Rewards(adjusted): 6.4e+02, Epsilon: 0.34
Episode: 77/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.3e+02, Epsilon: 0.34
Episode: 78/1000, Scores(Time Frames): 132, Total Rewards(adjusted): 1.5e+02, Epsilon: 0.33
Episode: 79/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 7.9e+01, Epsilon: 0.33
Episode: 80/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.2e+02, Epsilon: 0.32
Episode: 81/1000, Scores(Time Frames): 155, Total Rewards(adjusted): 3e+02, Epsilon: 0.32
Episode: 82/1000, Scores(Time Frames): 263, Total Rewards(adjusted): 6.7e+02, Epsilon: 0.31
Episode: 83/1000, Scores(Time Frames): 226, Total Rewards(adjusted): 6.7e+02, Epsilon: 0.3
Episode: 84/1000, Scores(Time Frames): 334, Total Rewards(adjusted): 9.7e+02, Epsilon: 0.29
Episode: 85/1000, Scores(Time Frames): 309, Total Rewards(adjusted): 7.7e+02, Epsilon: 0.28
Episode: 86/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.8e+02, Epsilon: 0.28
Episode: 87/1000, Scores(Time Frames): 226, Total Rewards(adjusted): 5e+02, Epsilon: 0.28
Episode: 88/1000, Scores(Time Frames): 144, Total Rewards(adjusted): 3.2e+02, Epsilon: 0.27
Episode: 89/1000, Scores(Time Frames): 147, Total Rewards(adjusted): 2.7e+02, Epsilon: 0.27
Episode: 90/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.1e+02, Epsilon: 0.26
Episode: 91/1000, Scores(Time Frames): 159, Total Rewards(adjusted): 1.6e+02, Epsilon: 0.26
Episode: 92/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 9e+01, Epsilon: 0.26
Episode: 93/1000, Scores(Time Frames): 156, Total Rewards(adjusted): 2.6e+02, Epsilon: 0.25
Episode: 94/1000, Scores(Time Frames): 223, Total Rewards(adjusted): 4.4e+02, Epsilon: 0.25
Episode: 95/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.8e+01, Epsilon: 0.24
Episode: 96/1000, Scores(Time Frames): 134, Total Rewards(adjusted): 4.1e+02, Epsilon: 0.24
Episode: 97/1000, Scores(Time Frames): 189, Total Rewards(adjusted): 4.9e+02, Epsilon: 0.24
Episode: 98/1000, Scores(Time Frames): 186, Total Rewards(adjusted): 4.3e+02, Epsilon: 0.23
Episode: 99/1000, Scores(Time Frames): 134, Total Rewards(adjusted): 3.2e+02, Epsilon: 0.23
Episode: 100/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 9.5e+01, Epsilon: 0.23
Episode: 101/1000, Scores(Time Frames): 225, Total Rewards(adjusted): 3.9e+02, Epsilon: 0.22
Episode: 102/1000, Scores(Time Frames): 134, Total Rewards(adjusted): 4.4e+02, Epsilon: 0.22
Episode: 103/1000, Scores(Time Frames): 194, Total Rewards(adjusted): 4.5e+02, Epsilon: 0.21
Episode: 104/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.2e+02, Epsilon: 0.21
Episode: 105/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.6e+02, Epsilon: 0.21
Episode: 106/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.3e+02, Epsilon: 0.21
Episode: 107/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.4e+01, Epsilon: 0.2
Episode: 108/1000, Scores(Time Frames): 190, Total Rewards(adjusted): 5.2e+02, Epsilon: 0.2
Episode: 109/1000, Scores(Time Frames): 190, Total Rewards(adjusted): 5.6e+02, Epsilon: 0.2
Episode: 110/1000, Scores(Time Frames): 135, Total Rewards(adjusted): 2.7e+02, Epsilon: 0.19
