Episode: 63/1000, Scores(Time Frames): 57, Total Rewards(adjusted): -0.004, Epsilon: 0.81
Episode: 64/1000, Scores(Time Frames): 59, Total Rewards(adjusted): -0.1, Epsilon: 0.81
Episode: 65/1000, Scores(Time Frames): 32, Total Rewards(adjusted): -0.051, Epsilon: 0.81
Episode: 66/1000, Scores(Time Frames): 102, Total Rewards(adjusted): -0.061, Epsilon: 0.81
Episode: 67/1000, Scores(Time Frames): 75, Total Rewards(adjusted): -0.075, Epsilon: 0.8
Episode: 68/1000, Scores(Time Frames): 114, Total Rewards(adjusted): -0.16, Epsilon: 0.8
Episode: 69/1000, Scores(Time Frames): 54, Total Rewards(adjusted): -0.047, Epsilon: 0.8
Episode: 70/1000, Scores(Time Frames): 94, Total Rewards(adjusted): -0.003, Epsilon: 0.79
Episode: 71/1000, Scores(Time Frames): 56, Total Rewards(adjusted): -0.048, Epsilon: 0.79
Episode: 72/1000, Scores(Time Frames): 59, Total Rewards(adjusted): -0.1, Epsilon: 0.79
Episode: 73/1000, Scores(Time Frames): 152, Total Rewards(adjusted): 1.3, Epsilon: 0.78
Episode: 74/1000, Scores(Time Frames): 144, Total Rewards(adjusted): 0.4, Epsilon: 0.78
Episode: 75/1000, Scores(Time Frames): 74, Total Rewards(adjusted): -0.04, Epsilon: 0.77
Episode: 76/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 0.09, Epsilon: 0.77
Episode: 77/1000, Scores(Time Frames): 52, Total Rewards(adjusted): -0.055, Epsilon: 0.77
Episode: 78/1000, Scores(Time Frames): 70, Total Rewards(adjusted): -0.11, Epsilon: 0.76
Episode: 79/1000, Scores(Time Frames): 87, Total Rewards(adjusted): -0.084, Epsilon: 0.76
Episode: 80/1000, Scores(Time Frames): 55, Total Rewards(adjusted): -0.091, Epsilon: 0.76
Episode: 81/1000, Scores(Time Frames): 102, Total Rewards(adjusted): -0.16, Epsilon: 0.76
Episode: 82/1000, Scores(Time Frames): 90, Total Rewards(adjusted): -0.079, Epsilon: 0.75
Episode: 83/1000, Scores(Time Frames): 160, Total Rewards(adjusted): -0.2, Epsilon: 0.75
Episode: 84/1000, Scores(Time Frames): 86, Total Rewards(adjusted): -0.018, Epsilon: 0.74
Episode: 85/1000, Scores(Time Frames): 240, Total Rewards(adjusted): 6.6, Epsilon: 0.73
Episode: 86/1000, Scores(Time Frames): 135, Total Rewards(adjusted): 2.0, Epsilon: 0.73
Episode: 87/1000, Scores(Time Frames): 144, Total Rewards(adjusted): 8.1, Epsilon: 0.72
Episode: 88/1000, Scores(Time Frames): 174, Total Rewards(adjusted): 3e+01, Epsilon: 0.72
Episode: 89/1000, Scores(Time Frames): 251, Total Rewards(adjusted): 1.4e+01, Epsilon: 0.71
Episode: 90/1000, Scores(Time Frames): 157, Total Rewards(adjusted): 9.8, Epsilon: 0.7
Episode: 91/1000, Scores(Time Frames): 155, Total Rewards(adjusted): 0.35, Epsilon: 0.7
Episode: 92/1000, Scores(Time Frames): 167, Total Rewards(adjusted): 2.4e+01, Epsilon: 0.69
Episode: 93/1000, Scores(Time Frames): 219, Total Rewards(adjusted): 1.1e+01, Epsilon: 0.68
Episode: 94/1000, Scores(Time Frames): 218, Total Rewards(adjusted): 2.1e+01, Epsilon: 0.68
Episode: 95/1000, Scores(Time Frames): 145, Total Rewards(adjusted): 5.0, Epsilon: 0.67
Episode: 96/1000, Scores(Time Frames): 216, Total Rewards(adjusted): 2.9e+01, Epsilon: 0.67
Episode: 97/1000, Scores(Time Frames): 164, Total Rewards(adjusted): 2.5e+01, Epsilon: 0.66
Episode: 98/1000, Scores(Time Frames): 185, Total Rewards(adjusted): 2e+01, Epsilon: 0.65
Episode: 99/1000, Scores(Time Frames): 200, Total Rewards(adjusted): 2.1e+01, Epsilon: 0.65
Episode: 100/1000, Scores(Time Frames): 163, Total Rewards(adjusted): 1.6e+01, Epsilon: 0.64
Episode: 101/1000, Scores(Time Frames): 216, Total Rewards(adjusted): 3.5e+01, Epsilon: 0.64
Episode: 102/1000, Scores(Time Frames): 145, Total Rewards(adjusted): 3.3e+01, Epsilon: 0.63
Episode: 103/1000, Scores(Time Frames): 166, Total Rewards(adjusted): 1.2, Epsilon: 0.63
Episode: 104/1000, Scores(Time Frames): 202, Total Rewards(adjusted): 1.7e+01, Epsilon: 0.62
Episode: 105/1000, Scores(Time Frames): 239, Total Rewards(adjusted): 2.7e+01, Epsilon: 0.61
Episode: 106/1000, Scores(Time Frames): 128, Total Rewards(adjusted): 2.6e+01, Epsilon: 0.61
Episode: 107/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.4e+01, Epsilon: 0.6
Episode: 108/1000, Scores(Time Frames): 412, Total Rewards(adjusted): 1.1e+02, Epsilon: 0.59
Episode: 109/1000, Scores(Time Frames): 500, Total Rewards(adjusted): 8.1e+01, Epsilon: 0.58
Episode: 110/1000, Scores(Time Frames): 191, Total Rewards(adjusted): 1.3e+01, Epsilon: 0.57
Episode: 111/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3e+01, Epsilon: 0.57
Episode: 112/1000, Scores(Time Frames): 192, Total Rewards(adjusted): 3.5e+01, Epsilon: 0.56
Episode: 113/1000, Scores(Time Frames): 379, Total Rewards(adjusted): 4e+01, Epsilon: 0.55
Episode: 114/1000, Scores(Time Frames): 148, Total Rewards(adjusted): 2.2e+01, Epsilon: 0.55
Episode: 115/1000, Scores(Time Frames): 206, Total Rewards(adjusted): 2.9e+01, Epsilon: 0.54
Episode: 116/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 1.2e+01, Epsilon: 0.54
Episode: 117/1000, Scores(Time Frames): 158, Total Rewards(adjusted): 2.4e+01, Epsilon: 0.54
Episode: 118/1000, Scores(Time Frames): 165, Total Rewards(adjusted): 1.8e+01, Epsilon: 0.53
Episode: 119/1000, Scores(Time Frames): 196, Total Rewards(adjusted): 2.5e+01, Epsilon: 0.53
Episode: 120/1000, Scores(Time Frames): 198, Total Rewards(adjusted): 4.2e+01, Epsilon: 0.52
Episode: 121/1000, Scores(Time Frames): 243, Total Rewards(adjusted): 6.1e+01, Epsilon: 0.51
Episode: 122/1000, Scores(Time Frames): 204, Total Rewards(adjusted): 3.1e+01, Epsilon: 0.51
Episode: 123/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.5e+01, Epsilon: 0.51
Episode: 124/1000, Scores(Time Frames): 192, Total Rewards(adjusted): 3.4e+01, Epsilon: 0.5
Episode: 125/1000, Scores(Time Frames): 204, Total Rewards(adjusted): 4.5e+01, Epsilon: 0.5
Episode: 126/1000, Scores(Time Frames): 197, Total Rewards(adjusted): 3.2e+01, Epsilon: 0.49
Episode: 127/1000, Scores(Time Frames): 164, Total Rewards(adjusted): 5.5e+01, Epsilon: 0.49
Episode: 128/1000, Scores(Time Frames): 174, Total Rewards(adjusted): 4.7e+01, Epsilon: 0.48
Episode: 129/1000, Scores(Time Frames): 270, Total Rewards(adjusted): 7.4e+01, Epsilon: 0.48
Episode: 130/1000, Scores(Time Frames): 197, Total Rewards(adjusted): 5.2e+01, Epsilon: 0.47
Episode: 131/1000, Scores(Time Frames): 145, Total Rewards(adjusted): 1e+01, Epsilon: 0.47
Episode: 132/1000, Scores(Time Frames): 179, Total Rewards(adjusted): 4.8e+01, Epsilon: 0.46
Episode: 133/1000, Scores(Time Frames): 177, Total Rewards(adjusted): 4.7e+01, Epsilon: 0.46
Episode: 134/1000, Scores(Time Frames): 143, Total Rewards(adjusted): 3.9e+01, Epsilon: 0.46
Episode: 135/1000, Scores(Time Frames): 351, Total Rewards(adjusted): 9.9e+01, Epsilon: 0.45
Episode: 136/1000, Scores(Time Frames): 153, Total Rewards(adjusted): 4.3e+01, Epsilon: 0.45
Episode: 137/1000, Scores(Time Frames): 179, Total Rewards(adjusted): 2.7e+01, Epsilon: 0.44
Episode: 138/1000, Scores(Time Frames): 213, Total Rewards(adjusted): 5e+01, Epsilon: 0.44
Episode: 139/1000, Scores(Time Frames): 218, Total Rewards(adjusted): 4e+01, Epsilon: 0.43
Episode: 140/1000, Scores(Time Frames): 137, Total Rewards(adjusted): 4.4e+01, Epsilon: 0.43
Episode: 141/1000, Scores(Time Frames): 169, Total Rewards(adjusted): 5.7e+01, Epsilon: 0.43
Episode: 142/1000, Scores(Time Frames): 148, Total Rewards(adjusted): 5.3e+01, Epsilon: 0.42
Episode: 143/1000, Scores(Time Frames): 152, Total Rewards(adjusted): 5.8e+01, Epsilon: 0.42
Episode: 144/1000, Scores(Time Frames): 160, Total Rewards(adjusted): 3.7e+01, Epsilon: 0.42
Episode: 145/1000, Scores(Time Frames): 152, Total Rewards(adjusted): 4.8e+01, Epsilon: 0.41
Episode: 146/1000, Scores(Time Frames): 211, Total Rewards(adjusted): 4.9e+01, Epsilon: 0.41
Episode: 147/1000, Scores(Time Frames): 184, Total Rewards(adjusted): 3.8e+01, Epsilon: 0.41
Episode: 148/1000, Scores(Time Frames): 250, Total Rewards(adjusted): 6.5e+01, Epsilon: 0.4
Episode: 149/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 3.9e+01, Epsilon: 0.4
Episode: 150/1000, Scores(Time Frames): 148, Total Rewards(adjusted): 5.4e+01, Epsilon: 0.39
Episode: 151/1000, Scores(Time Frames): 256, Total Rewards(adjusted): 8.5e+01, Epsilon: 0.39
Episode: 152/1000, Scores(Time Frames): 148, Total Rewards(adjusted): 3.8e+01, Epsilon: 0.39
Episode: 153/1000, Scores(Time Frames): 125, Total Rewards(adjusted): 2.6e+01, Epsilon: 0.38
Episode: 154/1000, Scores(Time Frames): 219, Total Rewards(adjusted): 4.1e+01, Epsilon: 0.38
Episode: 155/1000, Scores(Time Frames): 158, Total Rewards(adjusted): 2.5e+01, Epsilon: 0.38
Episode: 156/1000, Scores(Time Frames): 162, Total Rewards(adjusted): 8.7e+01, Epsilon: 0.37
Episode: 157/1000, Scores(Time Frames): 387, Total Rewards(adjusted): 1.4e+02, Epsilon: 0.37
Episode: 158/1000, Scores(Time Frames): 258, Total Rewards(adjusted): 7.5e+01, Epsilon: 0.36
Episode: 159/1000, Scores(Time Frames): 157, Total Rewards(adjusted): 6.9e+01, Epsilon: 0.36
Episode: 160/1000, Scores(Time Frames): 150, Total Rewards(adjusted): 4e+01, Epsilon: 0.36
Episode: 161/1000, Scores(Time Frames): 148, Total Rewards(adjusted): 8e+01, Epsilon: 0.35
Episode: 162/1000, Scores(Time Frames): 193, Total Rewards(adjusted): 7.5e+01, Epsilon: 0.35
Episode: 163/1000, Scores(Time Frames): 227, Total Rewards(adjusted): 9.1e+01, Epsilon: 0.35
