Episode: 1/400, Scores(Time Frames): 66, Total Rewards(adjusted): -0.26, Epsilon: 1.0
Episode: 2/400, Scores(Time Frames): 66, Total Rewards(adjusted): -0.26, Epsilon: 1.0
Episode: 3/400, Scores(Time Frames): 153, Total Rewards(adjusted): -0.27, Epsilon: 0.98
Episode: 4/400, Scores(Time Frames): 71, Total Rewards(adjusted): -0.25, Epsilon: 0.97
Episode: 5/400, Scores(Time Frames): 22, Total Rewards(adjusted): -0.21, Epsilon: 0.97
Episode: 6/400, Scores(Time Frames): 173, Total Rewards(adjusted): 1.2e+01, Epsilon: 0.96
Episode: 7/400, Scores(Time Frames): 120, Total Rewards(adjusted): -0.16, Epsilon: 0.94
Episode: 8/400, Scores(Time Frames): 78, Total Rewards(adjusted): -0.067, Epsilon: 0.94
Episode: 9/400, Scores(Time Frames): 32, Total Rewards(adjusted): -0.22, Epsilon: 0.93
Episode: 10/400, Scores(Time Frames): 46, Total Rewards(adjusted): -0.0069, Epsilon: 0.93
Episode: 11/400, Scores(Time Frames): 46, Total Rewards(adjusted): -0.29, Epsilon: 0.93
Episode: 12/400, Scores(Time Frames): 110, Total Rewards(adjusted): -0.21, Epsilon: 0.92
Episode: 13/400, Scores(Time Frames): 63, Total Rewards(adjusted): -0.032, Epsilon: 0.91
Episode: 14/400, Scores(Time Frames): 42, Total Rewards(adjusted): -0.021, Epsilon: 0.91
Episode: 15/400, Scores(Time Frames): 207, Total Rewards(adjusted): 1.1e+01, Epsilon: 0.89
Episode: 16/400, Scores(Time Frames): 184, Total Rewards(adjusted): 7.1, Epsilon: 0.87
Episode: 17/400, Scores(Time Frames): 195, Total Rewards(adjusted): -0.081, Epsilon: 0.86
Episode: 18/400, Scores(Time Frames): 44, Total Rewards(adjusted): -0.26, Epsilon: 0.85
Episode: 19/400, Scores(Time Frames): 125, Total Rewards(adjusted): 2.7e+01, Epsilon: 0.84
Episode: 20/400, Scores(Time Frames): 142, Total Rewards(adjusted): 3.3e+01, Epsilon: 0.83
Episode: 21/400, Scores(Time Frames): 334, Total Rewards(adjusted): 3.2e+01, Epsilon: 0.8
Episode: 22/400, Scores(Time Frames): 125, Total Rewards(adjusted): 3.5, Epsilon: 0.79
Episode: 23/400, Scores(Time Frames): 244, Total Rewards(adjusted): 7.5, Epsilon: 0.77
Episode: 24/400, Scores(Time Frames): 125, Total Rewards(adjusted): 6.6, Epsilon: 0.76
Episode: 25/400, Scores(Time Frames): 125, Total Rewards(adjusted): 1.1e+01, Epsilon: 0.75
Episode: 26/400, Scores(Time Frames): 164, Total Rewards(adjusted): 2.1, Epsilon: 0.74
Episode: 27/400, Scores(Time Frames): 231, Total Rewards(adjusted): 3.3e+01, Epsilon: 0.73
Episode: 28/400, Scores(Time Frames): 175, Total Rewards(adjusted): 4.2, Epsilon: 0.71
Episode: 29/400, Scores(Time Frames): 52, Total Rewards(adjusted): -0.22, Epsilon: 0.71
